Trade Key,Position ID,Order Ticket,Symbol,Broker Symbol,Direction,Result,Entry Time UTC,Exit Or Archive End UTC,Timeframe,Bars CSV,Entry Bar Open UTC,Exit Bar Open UTC,Entry Bar Row Index,Exit Bar Row Index,Bars In Trade Window
2197264325,2197264325,2197264325,EURCAD,EURCADm,short,Profit,2026-08-20T13:05:20.213000+00:00,2026-08-21T14:08:51.713000+00:00,4h,bars/EURCAD/4h/EURCAD_4h.csv,2026-08-20T12:00:00+00:00,2026-08-21T12:00:00+00:00,10,16,7
2197264325,2197264325,2197264325,EURCAD,EURCADm,short,Profit,2026-08-20T13:05:20.213000+00:00,2026-08-21T14:08:51.713000+00:00,15m,bars/EURCAD/15m/EURCAD_15m.csv,2026-08-20T13:00:00+00:00,2026-08-21T14:00:00+00:00,170,270,101
2197264325,2197264325,2197264325,EURCAD,EURCADm,short,Profit,2026-08-20T13:05:20.213000+00:00,2026-08-21T14:08:51.713000+00:00,5m,bars/EURCAD/5m/EURCAD_5m.csv,2026-08-20T13:05:00+00:00,2026-08-21T14:05:00+00:00,510,810,301
2201442741,2201442741,2201442741,EURNZD,EURNZDm,long,Loss,2026-08-21T00:05:21.225000+00:00,2026-08-21T00:10:38.784000+00:00,4h,bars/EURNZD/4h/EURNZD_4h.csv,2026-08-21T00:00:00+00:00,2026-08-21T00:00:00+00:00,13,13,1
2201442741,2201442741,2201442741,EURNZD,EURNZDm,long,Loss,2026-08-21T00:05:21.225000+00:00,2026-08-21T00:10:38.784000+00:00,15m,bars/EURNZD/15m/EURNZD_15m.csv,2026-08-21T00:00:00+00:00,2026-08-21T00:00:00+00:00,214,214,1
2201442741,2201442741,2201442741,EURNZD,EURNZDm,long,Loss,2026-08-21T00:05:21.225000+00:00,2026-08-21T00:10:38.784000+00:00,5m,bars/EURNZD/5m/EURNZD_5m.csv,2026-08-21T00:05:00+00:00,2026-08-21T00:10:00+00:00,643,644,2
2201517364,2201517364,2201517364,CADJPY,CADJPYm,short,Loss,2026-08-21T00:20:14.215000+00:00,2026-08-21T00:27:25.825000+00:00,4h,bars/CADJPY/4h/CADJPY_4h.csv,2026-08-21T00:00:00+00:00,2026-08-21T00:00:00+00:00,13,13,1
2201517364,2201517364,2201517364,CADJPY,CADJPYm,short,Loss,2026-08-21T00:20:14.215000+00:00,2026-08-21T00:27:25.825000+00:00,15m,bars/CADJPY/15m/CADJPY_15m.csv,2026-08-21T00:15:00+00:00,2026-08-21T00:15:00+00:00,215,215,1
2201517364,2201517364,2201517364,CADJPY,CADJPYm,short,Loss,2026-08-21T00:20:14.215000+00:00,2026-08-21T00:27:25.825000+00:00,5m,bars/CADJPY/5m/CADJPY_5m.csv,2026-08-21T00:20:00+00:00,2026-08-21T00:25:00+00:00,645,646,2
2205433470,2205433470,2205433470,CADJPY,CADJPYm,short,Loss,2026-08-21T11:00:19.730000+00:00,2026-08-21T11:08:03.700000+00:00,4h,bars/CADJPY/4h/CADJPY_4h.csv,2026-08-21T08:00:00+00:00,2026-08-21T08:00:00+00:00,15,15,1
