pair,trade_number,direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,outcome,pnl_R,exit_reason
NZDUSD,69,short,2025-08-25T12:00:00+00:00,2025-08-25T20:00:00+00:00,0.58728,0.584706,0.591642,0.584351,win,0.59,Exit at 0.58471 via mean_revert -> WIN (+0.59R)
NZDUSD,70,short,2025-08-29T04:00:00+00:00,2025-09-02T00:00:00+00:00,0.589,0.589622,0.592781,0.586602,loss,-0.164,Exit at 0.58962 via mean_revert -> LOSS (-0.16R)
NZDUSD,71,long,2025-09-18T04:00:00+00:00,2025-09-18T12:00:00+00:00,0.59259,0.587658,0.587658,0.595743,loss,-1.0,Exit at 0.58766 via atr_stop -> LOSS (-1.00R)
NZDUSD,72,short,2025-10-02T08:00:00+00:00,2025-10-02T12:00:00+00:00,0.584,0.581065,0.587907,0.580854,win,0.751,Exit at 0.58106 via mean_revert -> WIN (+0.75R)
NZDUSD,73,short,2025-11-26T08:00:00+00:00,2025-11-27T00:00:00+00:00,0.5678,0.572978,0.572978,0.562516,loss,-1.0,Exit at 0.57298 via atr_stop -> LOSS (-1.00R)
NZDUSD,74,long,2025-12-29T12:00:00+00:00,2025-12-30T04:00:00+00:00,0.57999,0.581899,0.576781,0.582486,win,0.595,Exit at 0.58190 via mean_revert -> WIN (+0.59R)
NZDUSD,75,long,2025-12-31T00:00:00+00:00,2025-12-31T12:00:00+00:00,0.57905,0.575896,0.575896,0.580944,loss,-1.0,Exit at 0.57590 via atr_stop -> LOSS (-1.00R)
NZDUSD,76,long,2026-02-06T00:00:00+00:00,2026-02-06T08:00:00+00:00,0.5938,0.599389,0.587291,0.599757,win,0.859,Exit at 0.59939 via mean_revert -> WIN (+0.86R)
NZDUSD,77,long,2026-02-18T20:00:00+00:00,2026-02-20T12:00:00+00:00,0.59644,0.597858,0.590806,0.601306,win,0.252,Exit at 0.59786 via mean_revert -> WIN (+0.25R)
NZDUSD,78,short,2026-04-08T00:00:00+00:00,2026-04-09T16:00:00+00:00,0.58087,0.587001,0.587001,0.572343,loss,-1.0,Exit at 0.58700 via atr_stop -> LOSS (-1.00R)
NZDUSD,79,long,2026-04-24T00:00:00+00:00,2026-04-24T12:00:00+00:00,0.58531,0.587819,0.580405,0.58848,win,0.511,Exit at 0.58782 via mean_revert -> WIN (+0.51R)
NZDUSD,80,long,2026-05-15T00:00:00+00:00,2026-05-15T04:00:00+00:00,0.59027,0.58655,0.58655,0.593033,loss,-1.0,Exit at 0.58655 via atr_stop -> LOSS (-1.00R)
NZDUSD,81,long,2026-06-03T08:00:00+00:00,2026-06-03T16:00:00+00:00,0.59043,0.586165,0.586165,0.594056,loss,-1.0,Exit at 0.58617 via atr_stop -> LOSS (-1.00R)
USDCAD,1,short,2021-05-27T00:00:00+00:00,2021-05-27T12:00:00+00:00,1.21305,1.208892,1.219644,1.208312,win,0.63,Exit at 1.20889 via mean_revert -> WIN (+0.63R)
USDCAD,2,short,2021-06-03T16:00:00+00:00,2021-06-04T12:00:00+00:00,1.21176,1.208303,1.218104,1.207182,win,0.545,Exit at 1.20830 via mean_revert -> WIN (+0.54R)
USDCAD,3,short,2021-06-13T20:00:00+00:00,2021-06-14T12:00:00+00:00,1.21598,1.213191,1.221527,1.212296,win,0.503,Exit at 1.21319 via mean_revert -> WIN (+0.50R)
USDCAD,4,long,2021-06-22T20:00:00+00:00,2021-06-24T12:00:00+00:00,1.23093,1.232442,1.222177,1.237437,win,0.173,Exit at 1.23244 via mean_revert -> WIN (+0.17R)
USDCAD,5,long,2021-07-02T20:00:00+00:00,2021-07-05T12:00:00+00:00,1.23236,1.237038,1.224317,1.238064,win,0.582,Exit at 1.23704 via mean_revert -> WIN (+0.58R)
USDCAD,6,long,2021-07-21T16:00:00+00:00,2021-07-23T12:00:00+00:00,1.25406,1.260682,1.242168,1.266594,win,0.557,Exit at 1.26068 via mean_revert -> WIN (+0.56R)
USDCAD,7,long,2021-07-29T04:00:00+00:00,2021-08-02T00:00:00+00:00,1.24922,1.248148,1.240978,1.25439,loss,-0.13,Exit at 1.24815 via mean_revert -> LOSS (-0.13R)
USDCAD,8,long,2021-08-23T16:00:00+00:00,2021-08-26T12:00:00+00:00,1.26672,1.261788,1.256934,1.275546,loss,-0.504,Exit at 1.26179 via mean_revert -> LOSS (-0.50R)
